번호,학과명,구분,순번,항목
1,전자공학과,취업분야,1,반도체 및 디스플레이 제조사
1,전자공학과,취업분야,2,가전 및 스마트기기 제조 기업
1,전자공학과,취업분야,3,자동차 전장 부품업체
1,전자공학과,취업분야,4,로봇 및 제어 시스템 기업
1,전자공학과,취업분야,5,통신 및 신호처리 관련 IT 기업
1,전자공학과,취업분야,6,방위산업체
1,전자공학과,취업분야,7,항공우주 산업
1,전자공학과,취업분야,8,의료기기 제조기업
1,전자공학과,취업분야,9,전력 및 에너지 공기업
1,전자공학과,진출직업,1,전자회로 설계 엔지니어
1,전자공학과,진출직업,2,임베디드 시스템 개발자
1,전자공학과,진출직업,3,반도체 공정/장비 엔지니어
1,전자공학과,진출직업,4,신호처리 및 제어 시스템 연구원
1,전자공학과,진출직업,5,디스플레이 연구원
1,전자공학과,진출직업,6,전력전자 엔지니어
1,전자공학과,진출직업,7,의료기기 HW/SW 개발자
1,전자공학과,진출직업,8,항공방산 전장설계 연구원
1,전자공학과,진출직업,9,RF/안테나 엔지니어
1,전자공학과,관련자격증,1,전자기사
1,전자공학과,관련자격증,2,전기기사
1,전자공학과,관련자격증,3,전자계산기기사
1,전자공학과,관련자격증,4,정보처리기사
1,전자공학과,관련자격증,5,반도체설계산업기사
1,전자공학과,관련자격증,6,산업안전기사
1,전자공학과,비고,1,회로/반도체/통신 하드웨어 전반의 기초 학문으로 대기업 전자·반도체 계열 취업 비중이 높음
2,소프트웨어학과,취업분야,1,"IT 대기업(네이버, 카카오, 라인 등)"
2,소프트웨어학과,취업분야,2,게임사(넥슨 등)
2,소프트웨어학과,취업분야,3,"IT 서비스/SI 기업(SK C&C, LG CNS 등)"
2,소프트웨어학과,취업분야,4,AI/빅데이터 전문 벤처
2,소프트웨어학과,취업분야,5,클라우드 인프라 기업
2,소프트웨어학과,취업분야,6,생성형 AI 및 LLM 개발 스타트업
2,소프트웨어학과,취업분야,7,메타버스 및 XR 기술 기업
2,소프트웨어학과,취업분야,8,금융/핀테크 플랫폼
2,소프트웨어학과,진출직업,1,백엔드/프론트엔드 SW 개발자
2,소프트웨어학과,진출직업,2,AI 및 기계학습 엔지니어
2,소프트웨어학과,진출직업,3,데이터 분석가 및 모델러
2,소프트웨어학과,진출직업,4,앱/웹 프로그래머
2,소프트웨어학과,진출직업,5,MLOps 엔지니어
2,소프트웨어학과,진출직업,6,클라우드 아키텍트
2,소프트웨어학과,진출직업,7,프롬프트 엔지니어
2,소프트웨어학과,진출직업,8,게임 서버/클라이언트 개발자
2,소프트웨어학과,관련자격증,1,정보처리기사
2,소프트웨어학과,관련자격증,2,SQLD
2,소프트웨어학과,관련자격증,3,리눅스마스터
2,소프트웨어학과,관련자격증,4,정보보안기사
2,소프트웨어학과,관련자격증,5,빅데이터분석기사
2,소프트웨어학과,비고,1,"대학원 진학 후 연구원·교수, 변리사(기술고시) 등 진로도 안내됨(학과 홈페이지 기준)"
3,스마트정보통신공학과,취업분야,1,"이동통신사(SKT, KT, LGU+)"
3,스마트정보통신공학과,취업분야,2,네트워크 장비 제조사
3,스마트정보통신공학과,취업분야,3,스마트홈 및 IoT 전문기업
3,스마트정보통신공학과,취업분야,4,시스템 반도체 설계업체
3,스마트정보통신공학과,취업분야,5,위성통신 및 항공우주 기업
3,스마트정보통신공학과,취업분야,6,엣지 컴퓨팅(Edge Computing) 솔루션 기업
3,스마트정보통신공학과,취업분야,7,멀티미디어 코덱/스트리밍 서비스 기업
3,스마트정보통신공학과,취업분야,8,스마트팜 시스템 구축 기업
3,스마트정보통신공학과,진출직업,1,무선통신/네트워크 엔지니어
3,스마트정보통신공학과,진출직업,2,음성/멀티미디어 신호처리 개발자
3,스마트정보통신공학과,진출직업,3,IoT 시스템 개발자
3,스마트정보통신공학과,진출직업,4,시스템 반도체 설계자
3,스마트정보통신공학과,진출직업,5,위성/항공 통신 엔지니어
3,스마트정보통신공학과,진출직업,6,Cloud/Edge 네트워크 관리자
3,스마트정보통신공학과,진출직업,7,스마트팜 IoT 엔지니어
3,스마트정보통신공학과,진출직업,8,신호처리 소프트웨어 개발자
3,스마트정보통신공학과,관련자격증,1,정보통신기사
3,스마트정보통신공학과,관련자격증,2,무선설비기사
3,스마트정보통신공학과,관련자격증,3,정보처리기사
3,스마트정보통신공학과,관련자격증,4,네트워크관리사
3,스마트정보통신공학과,비고,1,"5G/6G, IoT, 위성통신 등 정보통신 인프라 분야 특화"
4,경영공학과,취업분야,1,제조업/IT 기업의 생산 및 품질부서
4,경영공학과,취업분야,2,유통/물류 전문기업
4,경영공학과,취업분야,3,경영 컨설팅 펌
4,경영공학과,취업분야,4,금융권
4,경영공학과,취업분야,5,이커머스 및 플랫폼 기업
4,경영공학과,취업분야,6,IT 서비스 기업의 PMO(프로젝트관리조직)
4,경영공학과,취업분야,7,회계법인/신용평가사
4,경영공학과,취업분야,8,리테일 및 F&B 대기업
4,경영공학과,진출직업,1,생산/품질관리(QC/QA) 전문가
4,경영공학과,진출직업,2,공급망 관리자(SCM)
4,경영공학과,진출직업,3,물류 및 자재 관리자
4,경영공학과,진출직업,4,경영 컨설턴트
4,경영공학과,진출직업,5,데이터 분석가
4,경영공학과,진출직업,6,IT 프로젝트 매니저(PM/PO)
4,경영공학과,진출직업,7,비즈니스 데이터 분석가(BA)
4,경영공학과,진출직업,8,품질보증(QA) 엔지니어
4,경영공학과,진출직업,9,프로세스 혁신(PI) 컨설턴트
4,경영공학과,관련자격증,1,품질경영기사
4,경영공학과,관련자격증,2,산업안전기사
4,경영공학과,관련자격증,3,정보처리기사
4,경영공학과,관련자격증,4,ADsP/SQLD
4,경영공학과,관련자격증,5,유통관리사
4,경영공학과,비고,1,공학적 문제해결 능력과 경영지식을 함께 갖춘 산업공학형 인재 양성
5,그린화학공학과,취업분야,1,석유화학·정유 대기업
5,그린화학공학과,취업분야,2,화공/환경 플랜트 건설사
5,그린화학공학과,취업분야,3,"에너지 공기업(가스공사, 석유공사, 환경공단 등)"
5,그린화학공학과,취업분야,4,발전소
5,그린화학공학과,취업분야,5,이차전지(배터리) 및 소재 제조사
5,그린화학공학과,취업분야,6,바이오 화학/연료 기업
5,그린화학공학과,취업분야,7,반도체/디스플레이 화학소재 기업
5,그린화학공학과,취업분야,8,제약 및 화장품 제조업체
5,그린화학공학과,진출직업,1,공정 엔지니어
5,그린화학공학과,진출직업,2,신재생에너지 및 멤브레인 연구원
5,그린화학공학과,진출직업,3,대기/수질 환경 관리자
5,그린화학공학과,진출직업,4,가스/에너지 기술자
5,그린화학공학과,진출직업,5,배터리 소재 연구원
5,그린화학공학과,진출직업,6,바이오케미컬 공정 개발자
5,그린화학공학과,진출직업,7,반도체 케미컬 개발자
5,그린화학공학과,진출직업,8,탄소포집(CCUS) 연구원
5,그린화학공학과,관련자격증,1,화공기사
5,그린화학공학과,관련자격증,2,위험물산업기사
5,그린화학공학과,관련자격증,3,대기환경기사
5,그린화학공학과,관련자격증,4,수질환경기사
5,그린화학공학과,비고,1,'그린' 명칭에 맞게 친환경 공정·이차전지 소재 분야 진출이 두드러짐
6,건설시스템공학과,취업분야,1,대형 건설사
6,건설시스템공학과,취업분야,2,종합 엔지니어링/설계 업체
6,건설시스템공학과,취업분야,3,"정부 부처(국토교통부, 환경부 등) 및 공공기관(한국도로공사, 한국수자원공사 등)"
6,건설시스템공학과,취업분야,4,스마트시티 설계 및 관리기업
6,건설시스템공학과,취업분야,5,BIM(건설정보모델링) 전문 엔지니어링사
6,건설시스템공학과,취업분야,6,안전진단 및 구조물 유지관리 전문기업
6,건설시스템공학과,취업분야,7,부동산 개발/투자 회사(디벨로퍼)
6,건설시스템공학과,진출직업,1,토목/건설 시공 및 감리 엔지니어
6,건설시스템공학과,진출직업,2,사회기반시설 설계 기술자
6,건설시스템공학과,진출직업,3,토목직 공무원
6,건설시스템공학과,진출직업,4,안전/유지관리 전문가
6,건설시스템공학과,진출직업,5,BIM 설계 엔지니어
6,건설시스템공학과,진출직업,6,구조물 안전진단 전문가
6,건설시스템공학과,진출직업,7,수자원/하천 관리 기술자
6,건설시스템공학과,진출직업,8,지반/터널 엔지니어
6,건설시스템공학과,관련자격증,1,토목기사
6,건설시스템공학과,관련자격증,2,건설안전기사
6,건설시스템공학과,관련자격증,3,콘크리트기사
6,건설시스템공학과,관련자격증,4,측량및지형공간정보기사
6,건설시스템공학과,비고,1,공기업(공사) 및 건설 대기업 기술직 채용에서 토목기사 소지가 사실상 필수
7,정보보안공학과,취업분야,1,"IT 및 보안 전문 기업(안랩, SK쉴더스 등)"
7,정보보안공학과,취업분야,2,국방부/국가정보원/경찰청
7,정보보안공학과,취업분야,3,금융권 및 대기업 보안팀
7,정보보안공학과,취업분야,4,블록체인 및 암호화폐 보안 기업
7,정보보안공학과,취업분야,5,핀테크 스타트업
7,정보보안공학과,취업분야,6,자동차/모빌리티 보안 전문업체
7,정보보안공학과,취업분야,7,"클라우드 서비스 기업(AWS, MSP 등)"
7,정보보안공학과,진출직업,1,화이트 해커
7,정보보안공학과,진출직업,2,보안관제 요원
7,정보보안공학과,진출직업,3,디지털 포렌식 수사관
7,정보보안공학과,진출직업,4,보안 컨설턴트
7,정보보안공학과,진출직업,5,보안 SW 개발자
7,정보보안공학과,진출직업,6,클라우드 보안 엔지니어
7,정보보안공학과,진출직업,7,암호 알고리즘 연구원
7,정보보안공학과,진출직업,8,모바일/스마트키 보안 연구원
7,정보보안공학과,진출직업,9,침해사고 대응(CERT) 전문가
7,정보보안공학과,관련자격증,1,정보보안기사
7,정보보안공학과,관련자격증,2,정보시스템감리사
7,정보보안공학과,관련자격증,3,CISSP
7,정보보안공학과,관련자격증,4,정보처리기사
7,정보보안공학과,관련자격증,5,리눅스마스터
7,정보보안공학과,비고,1,공공·금융권 보안 직무 및 보안 전문기업 채용 연계가 활발한 분야
8,시스템반도체공학과,취업분야,1,종합반도체기업(IDM)
8,시스템반도체공학과,취업분야,2,팹리스(설계)
8,시스템반도체공학과,취업분야,3,파운드리(제조)
8,시스템반도체공학과,취업분야,4,반도체 장비 및 소재 기업
